ORF1	ORF2
YLR097C	YLR097C
YLR102C	YLR127C
YLR102C	YOR249C
YLR105C	YMR059W
YLR105C	YPL083C
YLR108C	YLR108C
YLR109W	YLR109W
YLR113W	YLR113W
YLR113W	YLR362W
YLR113W	YMR172W
YLR116W	YML046W
YLR116W	YMR065W
YLR116W	YPL016W
YLR127C	YOR249C
YLR147C	YLR433C
YLR147C	YMR088C
YLR175W	YNL307C
YLR182W	YPL204W
YLR186W	YLR186W
YLR191W	YML035C
YLR191W	YNL214W
YLR191W	YOR057W
YLR216C	YLR216C
YLR216C	YNL330C
YLR216C	YPL240C
YLR222C	YLR222C
YLR229C	YLR229C
YLR229C	YNL271C
YLR229C	YNL298W
YLR229C	YPL242C
YLR233C	YLR233C
YLR238W	YLR238W
YLR245C	YLR245C
YLR247C	YLR247C
YLR248W	YLR248W
YLR256W	YLR256W
YLR258W	YLR258W
YLR258W	YLR273C
YLR259C	YOR020C
YLR262C	YLR262C
YLR263W	YLR263W
YLR264W	YLR264W
YLR268W	YOR075W
YLR268W	YPL218W
YLR288C	YLR288C
YLR291C	YLR291C
YLR293C	YLR293C
YLR293C	YMR308C
YLR293C	YOL021C
YLR293C	YOR160W
YLR306W	YLR306W
YLR309C	YLR309C
YLR310C	YLR310C
YLR310C	YNL098C
YLR310C	YNR037C
YLR310C	YOR101W
YLR310C	YOR156C
YLR310C	YPL240C
YLR313C	YLR362W
YLR313C	YOR231W
YLR313C	YPL140C
YLR319C	YLR319C
YLR319C	YLR362W
YLR319C	YNL271C
YLR320W	YLR320W
YLR324W	YLR324W
YLR328W	YLR328W
YLR340W	YLR340W
YLR347C	YMR047C
YLR352W	YLR352W
YLR362W	YLR362W
YLR362W	YMR186W
YLR362W	YPL240C
YLR363C	YMR080C
YLR371W	YPR165W
YLR377C	YLR377C
YLR383W	YLR383W
YLR386W	YLR386W
YLR396C	YOR106W
YLR403W	YLR403W
YLR423C	YLR423C
YLR427W	YLR427W
YLR429W	YLR429W
YLR433C	YLR433C
YLR438CA	YLR438CA
YLR438CA	YOL149W
YLR442C	YLR442C
YLR442C	YNL216W
YLR450W	YPR154W
YLR451W	YLR451W
YLR456W	YNR053C
YML016C	YML016C
YML029W	YML029W
YML032C	YML032C
YML042W	YML042W
YML051W	YML051W
YML051W	YPL248C
YML054C	YNR017W
YML057W	YML057W
YML058W	YML058W
YML064C	YML064C
YML069W	YNL102W
YML085C	YNL223W
YML085C	YOL086C
YML088W	YML088W
YML094W	YML094W
YML095C	YML095C
YML100W	YML100W
YML102W	YML102W
YML103C	YMR129W
YML112W	YML112W
YML115C	YML115C
YML121W	YML121W
YMR001C	YMR001C
YMR019W	YOL004W
YMR022W	YMR022W
YMR032W	YNL271C
YMR032W	YOR181W
YMR036C	YMR036C
YMR038C	YMR038C
YMR043W	YMR043W
YMR053C	YOL004W
YMR055C	YMR055C
YMR059W	YMR059W
YMR059W	YPL083C
YMR061W	YOL123W
YMR080C	YMR080C
YMR080C	YNL112W
YMR093W	YMR093W
YMR094W	YMR094W
YMR104C	YMR104C
YMR106C	YMR106C
YMR109W	YMR109W
YMR109W	YNL271C
YMR109W	YOR181W
YMR109W	YOR247W
YMR111C	YMR111C
YMR116C	YMR116C
YMR117C	YMR117C
YMR127C	YMR127C
YMR137C	YMR137C
YMR139W	YMR139W
YMR146C	YMR146C
YMR153W	YMR153W
YMR159C	YMR159C
YMR168C	YMR168C
YMR186W	YMR186W
YMR192W	YPR154W
YMR197C	YOR106W
YMR198W	YMR198W
YMR198W	YPR141C
YMR199W	YMR199W
YMR201C	YMR201C
YMR203W	YNL131W
YMR224C	YMR224C
YMR235C	YMR235C
YMR240C	YPL016W
YMR246W	YMR246W
YMR261C	YMR261C
YMR280C	YMR280C
YMR291W	YMR291W
YMR311C	YMR311C
YNL006W	YNL006W
YNL023C	YNL023C
YNL032W	YNL032W
YNL035C	YNL035C
YNL044W	YNL044W
YNL053W	YNL053W
YNL056W	YNL056W
YNL062C	YOR361C
YNL068C	YNL068C
YNL090W	YNL090W
YNL090W	YPL161C
YNL093W	YNL093W
YNL094W	YNL094W
YNL094W	YPR154W
YNL098C	YNL098C
YNL099C	YNL099C
YNL102W	YPR135W
YNL103W	YNL103W
YNL106C	YNL106C
YNL113W	YNL113W
YNL116W	YNL116W
YNL128W	YNL128W
YNL147W	YOL149W
YNL154C	YNL154C
YNL157W	YNL157W
YNL159C	YNL159C
YNL161W	YNL161W
YNL167C	YNL167C
YNL172W	YNL172W
YNL172W	YOR249C
YNL175C	YNL175C
YNL180C	YNL180C
YNL182C	YNL182C
YNL189W	YNL189W
YNL216W	YPL075W
YNL218W	YNL218W
YNL228W	YNL228W
YNL230C	YNL230C
YNL243W	YNL243W
YNL244C	YNL244C
YNL250W	YNL250W
YNL260C	YNL260C
YNL262W	YNL262W
YNL271C	YOR122C
YNL271C	YPR165W
YNL272C	YNL272C
YNL273W	YOL006C
YNL289W	YPL031C
YNL290W	YNL290W
YNL307C	YNL307C
YNL309W	YOL004W
YNL311C	YNL311C
YNL312W	YNL312W
YNL314W	YNL314W
YNL323W	YNL323W
YNL331C	YNL331C
YNL333W	YNL333W
YNR010W	YNR010W
YNR012W	YNR012W
YNR019W	YNR019W
YNR033W	YPR154W
YOL001W	YPL031C
YOL006C	YOL006C
YOL018C	YOR327C
YOL038W	YPR154W
YOL045W	YOL045W
YOL052C	YOL052C
YOL054W	YOL054W
YOL062C	YOL062C
YOL087C	YOL087C
YOL090W	YOR033C
YOL094C	YOL094C
YOL100W	YOL100W
YOL102C	YOL102C
YOL108C	YOL108C
YOL113W	YOL113W
YOL115W	YOL115W
YOL126C	YOL126C
YOL128C	YOL128C
YOL133W	YOL133W
YOR005C	YOR005C
YOR020C	YOR020C
YOR026W	YOR026W
YOR027W	YPL240C
YOR039W	YOR302W
YOR043W	YOR043W
YOR061W	YOR061W
YOR063W	YPR154W
YOR069W	YOR069W
YOR069W	YOR181W
YOR080W	YOR080W
YOR089C	YOR089C
YOR090C	YOR090C
YOR098C	YOR160W
YOR111W	YOR111W
YOR125C	YOR125C
YOR128C	YOR128C
YOR151C	YOR210W
YOR155C	YOR155C
YOR174W	YOR174W
YOR181W	YPR154W
YOR191W	YOR191W
YOR195W	YOR195W
YOR197W	YPR154W
YOR202W	YOR202W
YOR212W	YOR212W
YOR227W	YOR227W
YOR229W	YOR229W
YOR230W	YOR230W
YOR232W	YOR232W
YOR272W	YOR272W
YOR275C	YOR275C
YOR276W	YOR276W
YOR284W	YOR284W
YOR319W	YOR319W
YOR351C	YOR351C
YOR353C	YOR353C
YOR368W	YOR368W
YOR368W	YPL194W
YOR380W	YOR380W
YOR386W	YOR386W
YPL003W	YPL003W
YPL022W	YPL022W
YPL026C	YPL026C
YPL031C	YPL031C
YPL049C	YPL049C
YPL050C	YPR154W
YPL051W	YPL051W
YPL074W	YPL074W
YPL088W	YPL088W
YPL091W	YPL091W
YPL112C	YPR154W
YPL115C	YPL115C
YPL124W	YPL124W
YPL126W	YPL126W
YPL131W	YPL131W
YPL135W	YPL135W
YPL139C	YPL139C
YPL140C	YPL140C
YPL149W	YPL149W
YPL150W	YPL150W
YPL153C	YPL153C
YPL155C	YPL155C
YPL164C	YPL164C
YPL170W	YPL170W
YPL174C	YPL174C
YPL179W	YPL179W
YPL192C	YPL192C
YPL194W	YPL194W
YPL204W	YPL204W
YPL214C	YPL214C
YPL235W	YPL235W
YPL236C	YPL236C
YPL240C	YPL240C
YPL248C	YPL248C
YPL254W	YPL254W
YPL255W	YPL255W
YPL256C	YPL256C
YPL259C	YPL259C
YPR015C	YPR015C
YPR017C	YPR017C
YPR018W	YPR018W
YPR054W	YPR054W
YPR071W	YPR071W
YPR072W	YPR072W
YPR073C	YPR073C
YPR093C	YPR093C
YPR104C	YPR104C
YPR111W	YPR111W
YPR112C	YPR154W
YPR119W	YPR119W
YPR137W	YPR137W
YPR158WA	YPR158WA
YPR165W	YPR165W
YPR181C	YPR181C
YKL186C	YPL169C
YGL106W	YOR326W
YDR328C	YFL009W
YDR189W	YLR026C
YCR096C	YCR097W
YPL218W	YPR181C
YAL003W	YPR080W
YIL109C	YPR181C
YJR104C	YMR038C
YDR092W	YGL087C
YGR180C	YJL026W
YDR292C	YKL154W
YKL090W	YLR167W
YMR174C	YPL154C
YDR510W	YPL020C
YCR096C	YMR043W
YHR024C	YLR163C
YBL099W	YBR039W
YBL099W	YJR121W
YBR039W	YJR121W
YGL187C	YHR024C
YGL187C	YLR163C
YKL058W	YOR194C
YBL002W	YDR225W
YBL002W	YNL030W
YBL002W	YNL031C
YDR225W	YNL030W
YDR225W	YNL031C
YNL030W	YNL031C
YBL041W	YER094C
YBL041W	YFR050C
YBL041W	YGL011C
YBL041W	YOR157C
YBL041W	YOR362C
YBR154C	YDL140C
YBR154C	YPR187W
YDL140C	YDR404C
YDL140C	YGL070C
YDL140C	YIL021W
YDL140C	YOL005C
YDL140C	YOR151C
YDL140C	YOR224C
YDL140C	YPR187W
YDR404C	YJL140W
YDR404C	YOR151C
YDR404C	YPR187W
YER012W	YER094C
YER012W	YGR135W
YER012W	YGR253C
YER012W	YOL038W
YER012W	YOR157C
YER012W	YPR103W
YER094C	YGR135W
YER094C	YML092C
YER094C	YOL038W
YER094C	YOR157C
YFR050C	YJL001W
YFR050C	YMR314W
YFR050C	YOR157C
YFR050C	YOR362C
YGL011C	YGR135W
YGL011C	YJL001W
YGL011C	YML092C
YGL011C	YMR314W
YGL011C	YOR157C
YGL011C	YOR362C
YGL070C	YOR151C
YGR135W	YGR253C
YGR135W	YML092C
YGR135W	YOL038W
YGR135W	YOR157C
YGR135W	YOR362C
YGR253C	YMR314W
YGR253C	YOL038W
YGR253C	YPR103W
YHR143WA	YIL021W
YHR143WA	YOR151C
YHR143WA	YOR210W
YIL021W	YOL005C
YIL021W	YOR151C
YIL021W	YOR210W
YIL021W	YOR224C
YJL001W	YOR157C
YJL001W	YOR362C
YML092C	YMR314W
YML092C	YOL038W
YML092C	YOR157C
YML092C	YOR362C
YMR314W	YOR362C
YMR314W	YPR103W
YOL005C	YOR151C
YOL005C	YOR224C
YOL038W	YPR103W
YOR151C	YPR187W
YKL190W	YLR433C
YKL190W	YML057W
YLR433C	YML057W
YIL033C	YJL164C
YIL033C	YKL166C
YIL033C	YPL203W
YJL164C	YKL166C
YJL164C	YPL203W
YKL166C	YPL203W
YER123W	YHR135C
YER123W	YNL154C
YER123W	YPL204W
YHR135C	YNL154C
YHR135C	YPL204W
YNL154C	YPL204W
YGL019W	YIL035C
YGL019W	YOR039W
YGL019W	YOR061W
YIL035C	YOR039W
YIL035C	YOR061W
YOR039W	YOR061W
YLR288C	YPL194W
YDL108W	YPR025C
YCR081W	YDR443C
YCR081W	YNL025C
YCR081W	YPL042C
YDR443C	YNL025C
YDR443C	YPL042C
YNL025C	YPL042C
YJL006C	YKL139W
YJL006C	YML112W
YKL139W	YML112W
YKL182W	YPL231W
YDL090C	YKL019W
YGL155W	YKL019W
YJL031C	YOR370C
YJL031C	YPR176C
YOR370C	YPR176C
YCR034W	YGR032W
YCR034W	YLR342W
YGR032W	YLR342W
YGR143W	YPR159W
YAL044C	YDR019C
YAL044C	YFL018C
YAL044C	YMR189W
YDR019C	YFL018C
YDR019C	YMR189W
YFL018C	YMR189W
YCR024CA	YEL017CA
YCR024CA	YGL008C
YCR024CA	YPL036W
YEL017CA	YGL008C
YEL017CA	YPL036W
YGL008C	YPL036W
YEL056W	YPL001W
YHR099W	YOR244W
YMR263W	YNL330C
YMR263W	YOL004W
YNL330C	YOL004W
YNL037C	YOR136W
YGL206C	YGR167W
YKL135C	YLR170C
YKL135C	YPL259C
YKL135C	YPR029C
YLR170C	YPL259C
YLR170C	YPR029C
YPL259C	YPR029C
YBL037W	YJR005W
YBL037W	YJR058C
YBL037W	YOL062C
YJR005W	YJR058C
YJR005W	YOL062C
YJR058C	YOL062C
YBR288C	YGR261C
YBR288C	YJL024C
YBR288C	YPL195W
YGR261C	YJL024C
YGR261C	YPL195W
YJL024C	YPL195W
YHR012W	YJL053W
YHR012W	YJL154C
YOR069W	YOR132W
YBL050W	YBR080C
YKL041W	YLR025W
YKL041W	YPR173C
YLR025W	YPR173C
YLR148W	YLR396C
YLR148W	YMR231W
YLR148W	YPL045W
YLR396C	YMR231W
YLR396C	YPL045W
YMR231W	YPL045W
YGR238C	YHR158C
YDR328C	YGR140W
YDR328C	YMR094W
YDR328C	YMR168C
YGR140W	YMR094W
YGR140W	YMR168C
YMR094W	YMR168C
YBR115C	YGL154C
YAL009W	YHR004C
YCL009C	YMR108W
YGR072W	YMR080C
YFR002W	YJL041W
YGL172W	YGR119C
YGR119C	YJL041W
YJL041W	YJL061W
YFL022C	YLR060W
YFL022C	YPR047W
YLR060W	YPR047W
YGR240C	YMR205C
YMR035W	YMR150C
YDL040C	YHR013C
YAL038W	YOR347C
YGL032C	YNR044W
YBR278W	YNL262W
YBR278W	YPR175W
YNL262W	YPR175W
YIL139C	YPL167C
YAR007C	YJL173C
YAR007C	YNL312W
YJL173C	YNL312W
YER176W	YHR164C
YBL035C	YIR008C
YBL035C	YKL045W
YBL035C	YNL102W
YIR008C	YKL045W
YIR008C	YNL102W
YKL045W	YNL102W
YJR006W	YJR043C
YIL009CA	YLR233C
YIL009CA	YLR318W
YLR233C	YLR318W
YDR178W	YKL141W
YDR178W	YKL148C
YDR178W	YLL041C
YKL141W	YKL148C
YKL141W	YLL041C
YKL148C	YLL041C
YER070W	YGR180C
YER070W	YIL066C
YER070W	YJL026W
YGR180C	YIL066C
YIL066C	YJL026W
YDR301W	YLR115W
YDR301W	YLR277C
YLR115W	YLR277C
YAL043C	YJR093C
YAL043C	YLR277C
YJR093C	YLR277C
YDL014W	YLR197W
YDL014W	YOR310C
YLR197W	YOR310C
YJL203W	YLL036C
YJL203W	YPR101W
YLL036C	YPR101W
YDL030W	YDL043C
YDL132W	YDR328C
YDL132W	YFL009W
YDR054C	YDR328C
YDL132W	YJR090C
YDR054C	YJR090C
YDR328C	YJR090C
YDL132W	YIL046W
YDR054C	YIL046W
YDR328C	YIL046W
YHR005C	YJR086W
YHR005C	YOR212W
YJR086W	YOR212W
YHR172W	YLR212C
YHR172W	YNL126W
YLR212C	YNL126W
YGR244C	YOR142W
YDR285W	YIL072W
YDR285W	YLR263W
YBR126C	YDR074W
YBR126C	YML100W
YBR126C	YMR261C
YDR074W	YML100W
YDR074W	YMR261C
YML100W	YMR261C
YEL034W	YJR047C
YGR162W	YOL139C
YER025W	YJR007W
YER025W	YPL237W
YJR007W	YPL237W
YJL138C	YKR059W
YGL049C	YGR162W
YGL049C	YOR276W
YDR385W	YOR133W
YGL023C	YMR023C
YER148W	YNL039W
YGR246C	YNL039W
YBL021C	YGL237C
YBL021C	YKL109W
YBL021C	YOR358W
YGL237C	YKL109W
YGL237C	YOR358W
YKL109W	YOR358W
YGL130W	YPL228W
YML095C	YMR201C
YML095C	YPL022W
YMR201C	YPL022W
YEL037C	YER162C
YBR114W	YJR052W
YMR106C	YMR284W
YGL090W	YOR005C
YDR369C	YMR224C
YDR369C	YNL250W
YMR224C	YNL250W
YCR092C	YNL082W
YCR092C	YOL090W
YNL082W	YOL090W
YDR097C	YOL090W
YDR173C	YML099C
YDR173C	YMR042W
YDR173C	YMR043W
YML099C	YMR042W
YML099C	YMR043W
YMR042W	YMR043W
YBR112C	YCR084C
YMR053C	YNL309W
YMR053C	YNL330C
YNL309W	YNL330C
YIR017C	YPL038W
YNL103W	YPL038W
YDR253C	YIR017C
YDR253C	YNL103W
YDR397C	YER159C
YHR193C	YPL037C
YER001W	YLR182W
YDL056W	YLR182W
YDR009W	YPL248C
YNL199C	YPL075W
YBL014C	YER148W
YBL014C	YJL025W
YBL014C	YML043C
YER148W	YJL025W
YER148W	YML043C
YJL025W	YML043C
YBL025W	YLR141W
YBL025W	YMR270C
YLR141W	YMR270C
YKL028W	YKR062W
YGR005C	YGR186W
YGR005C	YPL129W
YGR186W	YPL129W
YDR086C	YER087CA
YER087CA	YLR378C
YBR171W	YLR292C
YBR171W	YOR254C
YBR171W	YPL094C
YLR292C	YOR254C
YLR292C	YPL094C
YOR254C	YPL094C
YIR022W	YJR010CA
YIR022W	YML055W
YJR010CA	YML055W
YER090W	YKL211C
YJR109C	YOR303W
